type,weight,fragile,destination
Food,3.9,False,Kuching
Electronics,15.1,False,Penang
Electronics,18.9,True,Kota Kinabalu
Furniture,41.5,False,Kuching
Furniture,47.9,False,Kuala Lumpur
Food,3.5,True,Johor Bahru
Furniture,34.7,True,Kuching
Clothing,1.8,False,Kuala Lumpur
Clothing,4.1,False,Kuala Lumpur
Food,9.6,True,Johor Bahru
Electronics,14.6,True,Kuala Lumpur
Electronics,9.1,True,Johor Bahru
Documents,1.4,False,Kota Kinabalu
Food,7.4,True,Kuala Lumpur
Documents,1.1,False,Johor Bahru
Machinery,59.5,False,Penang
Machinery,38.6,False,Kuala Lumpur
Machinery,42.3,False,Kota Kinabalu
Furniture,36.2,False,Kota Kinabalu
Electronics,5.6,True,Kota Kinabalu
Electronics,5.3,True,Johor Bahru
Furniture,25.5,False,Kota Kinabalu
Furniture,39.5,True,Penang
Furniture,43.5,False,Kuala Lumpur
Furniture,22.0,False,Kuching
Documents,1.0,True,Kuching
Food,8.3,False,Kuala Lumpur
Electronics,13.2,True,Kuching
Clothing,2.2,False,Penang
Electronics,7.3,False,Johor Bahru
Machinery,69.6,True,Johor Bahru
Documents,0.7,False,Kuala Lumpur
Furniture,46.6,False,Kuala Lumpur
Electronics,10.1,False,Kuching
Electronics,14.6,True,Kota Kinabalu
Furniture,48.7,False,Penang
Clothing,4.8,False,Johor Bahru
Food,5.9,False,Kuala Lumpur
Clothing,2.6,False,Kuching
Documents,1.9,True,Penang
Food,2.7,False,Kuala Lumpur
Clothing,1.3,True,Kuala Lumpur
Clothing,3.2,False,Penang
Furniture,40.6,False,Kuala Lumpur
Electronics,16.3,True,Johor Bahru
Clothing,2.8,False,Penang
Documents,0.9,False,Kuala Lumpur
Documents,1.0,False,Johor Bahru
Clothing,1.3,False,Kota Kinabalu
Furniture,30.9,True,Penang
Electronics,11.1,True,Kota Kinabalu
Clothing,1.5,False,Penang
Clothing,2.4,False,Kuching
Documents,1.8,True,Kota Kinabalu
Electronics,19.9,False,Kuching
Machinery,52.3,False,Johor Bahru
Machinery,44.1,False,Penang
Furniture,44.0,False,Kuching
Machinery,66.2,False,Kuching
Documents,1.4,False,Johor Bahru
Clothing,3.2,False,Johor Bahru
Food,1.8,False,Penang
Electronics,8.9,False,Penang
Documents,0.7,False,Kota Kinabalu
Clothing,3.3,False,Kuala Lumpur
Machinery,55.5,True,Kota Kinabalu
Documents,0.8,False,Johor Bahru
Documents,1.2,False,Kuala Lumpur
Food,9.0,True,Kuala Lumpur
Clothing,3.8,False,Penang
Furniture,40.1,True,Kuala Lumpur
Furniture,20.8,True,Penang
Furniture,39.7,False,Kuching
Furniture,49.6,False,Johor Bahru
Clothing,2.5,False,Penang
Food,9.0,True,Kuching
Furniture,40.5,False,Kota Kinabalu
Electronics,9.6,True,Johor Bahru
Food,2.7,False,Johor Bahru
Food,7.9,False,Penang
Machinery,54.8,False,Kota Kinabalu
Documents,1.2,False,Penang
Clothing,1.2,False,Penang
Furniture,25.1,False,Penang
Documents,1.1,False,Johor Bahru
Machinery,52.2,False,Johor Bahru
Electronics,16.2,False,Kuching
Machinery,64.4,True,Kuching
Electronics,15.5,True,Johor Bahru
Electronics,18.8,False,Penang
Food,8.7,True,Penang
Furniture,48.8,False,Kuching
Electronics,13.4,False,Kota Kinabalu
Machinery,37.1,True,Penang
Food,4.1,False,Kuching
Electronics,6.1,True,Johor Bahru
Clothing,1.8,False,Kuching
Food,9.9,False,Kota Kinabalu
Furniture,32.2,True,Penang
Furniture,41.2,False,Kota Kinabalu
Electronics,7.5,False,Kuching
Machinery,33.7,False,Johor Bahru
Furniture,22.7,False,Kuala Lumpur
Clothing,2.2,False,Kota Kinabalu
Machinery,42.8,False,Penang
Clothing,5.0,False,Kota Kinabalu
Electronics,15.5,True,Johor Bahru
Furniture,28.1,False,Kuala Lumpur
Documents,0.7,False,Penang
Machinery,43.5,False,Kuala Lumpur
Electronics,9.5,True,Kuala Lumpur
Machinery,43.4,True,Johor Bahru
Clothing,2.7,False,Penang
Machinery,54.0,False,Kota Kinabalu
Documents,0.6,False,Penang
Clothing,1.4,False,Kuala Lumpur
Food,9.8,False,Penang
Clothing,4.1,True,Kuala Lumpur
Electronics,15.2,True,Kota Kinabalu
Food,8.4,False,Kuala Lumpur
Electronics,9.3,True,Kuala Lumpur
Electronics,15.6,True,Kota Kinabalu
Food,7.2,True,Penang
Furniture,30.8,True,Penang
Electronics,9.3,True,Kota Kinabalu
Electronics,11.3,True,Kuala Lumpur
Food,3.4,False,Kota Kinabalu
Documents,1.2,False,Johor Bahru
Clothing,2.6,False,Penang
Machinery,44.4,False,Penang
Documents,1.2,False,Johor Bahru
Electronics,18.6,False,Johor Bahru
Furniture,27.3,False,Kuala Lumpur
Documents,0.8,False,Johor Bahru
Food,9.6,True,Kuala Lumpur
Machinery,59.0,False,Johor Bahru
Furniture,49.7,False,Kuala Lumpur
Furniture,40.7,False,Kuching
Food,5.4,False,Kota Kinabalu
Machinery,45.9,False,Penang
Electronics,18.9,True,Kuala Lumpur
Food,3.5,True,Kuala Lumpur
Electronics,5.2,True,Johor Bahru
Clothing,0.8,False,Kuala Lumpur
Documents,0.9,True,Johor Bahru
Clothing,4.3,False,Kota Kinabalu
Clothing,2.6,False,Johor Bahru
Food,4.1,True,Kuala Lumpur
Food,6.6,True,Johor Bahru
Machinery,32.4,False,Kuching
Electronics,12.6,True,Kuching
Furniture,25.5,False,Johor Bahru
Food,2.1,False,Johor Bahru
Furniture,24.2,True,Kuala Lumpur
Machinery,48.6,False,Kuching
Food,1.8,False,Kuching
Machinery,47.0,True,Kuching
Electronics,10.7,True,Penang
Machinery,54.4,False,Kuching
Machinery,33.3,True,Kota Kinabalu
Electronics,5.1,True,Kuching
Food,1.3,False,Kuching
Machinery,68.4,False,Johor Bahru
Food,5.7,True,Kota Kinabalu
Food,7.4,True,Johor Bahru
Electronics,19.0,True,Kuala Lumpur
Electronics,15.8,True,Johor Bahru
Machinery,57.8,False,Kota Kinabalu
Furniture,31.1,True,Kuching
Machinery,50.9,False,Kuching
Machinery,46.3,False,Kota Kinabalu
Food,1.2,False,Kuching
Food,2.1,True,Johor Bahru
Clothing,4.5,False,Penang
Machinery,62.9,False,Penang
Documents,1.4,False,Penang
Clothing,1.1,False,Kota Kinabalu
Documents,0.5,False,Penang
Electronics,7.8,True,Johor Bahru
Food,4.1,False,Johor Bahru
Documents,1.0,False,Kota Kinabalu
Clothing,3.6,False,Kota Kinabalu
Machinery,62.2,False,Johor Bahru
Furniture,40.2,False,Penang
Furniture,47.3,False,Kuala Lumpur
Machinery,31.7,False,Kota Kinabalu
Clothing,4.8,False,Penang
Clothing,0.6,False,Johor Bahru
Food,2.1,True,Penang
Furniture,25.9,False,Kuching
Food,7.2,False,Kuching
Electronics,8.9,True,Penang
Electronics,8.7,True,Kota Kinabalu
Documents,2.0,False,Penang
Furniture,44.2,False,Penang
Machinery,33.4,False,Kuala Lumpur
Documents,1.7,False,Kuala Lumpur
Machinery,61.0,True,Penang
Machinery,35.5,False,Kota Kinabalu
Electronics,17.5,True,Kuala Lumpur
Furniture,20.9,False,Kota Kinabalu
Furniture,48.9,False,Johor Bahru
Furniture,24.5,False,Johor Bahru
Food,8.0,True,Kota Kinabalu
Clothing,2.9,True,Johor Bahru
Documents,1.2,False,Penang
Electronics,17.0,True,Penang
Machinery,61.5,False,Kuching
Food,5.1,True,Penang
Furniture,30.6,True,Kuala Lumpur
Machinery,47.0,False,Penang
Machinery,57.8,False,Kuala Lumpur
Documents,1.3,False,Johor Bahru
Food,7.9,False,Kota Kinabalu
Food,4.9,True,Kuching
Electronics,16.8,True,Johor Bahru
Electronics,8.8,True,Penang
Furniture,32.4,False,Kuala Lumpur
Machinery,31.3,False,Kuching
Electronics,12.7,False,Johor Bahru
Furniture,34.2,False,Johor Bahru
Documents,1.0,False,Penang
Furniture,24.3,False,Kota Kinabalu
Documents,2.0,False,Penang
Food,6.3,False,Johor Bahru
Food,3.5,False,Kuala Lumpur
Clothing,4.6,False,Johor Bahru
Documents,0.7,False,Penang
Documents,1.3,False,Penang
Clothing,3.9,False,Johor Bahru
Clothing,4.8,False,Penang
Documents,1.9,False,Kuala Lumpur
Electronics,7.9,True,Johor Bahru
Documents,2.0,False,Kota Kinabalu
Clothing,4.2,False,Kota Kinabalu
Food,8.0,False,Kuching
Furniture,45.4,False,Penang
Machinery,43.9,False,Johor Bahru
Food,2.1,False,Kuching
Documents,1.1,False,Kota Kinabalu
Electronics,6.6,True,Kuala Lumpur
Machinery,36.6,True,Kuching
Clothing,3.8,False,Kota Kinabalu
Furniture,48.2,False,Penang
Food,5.2,False,Penang
Food,6.5,False,Kuching
Documents,1.8,True,Kuching
Food,9.8,True,Kota Kinabalu
Food,7.0,False,Kota Kinabalu
Furniture,20.2,True,Kuching
Clothing,1.6,False,Kuala Lumpur
Clothing,2.5,False,Johor Bahru
Food,8.4,True,Kuala Lumpur
Furniture,30.8,False,Kota Kinabalu
Furniture,22.5,False,Kuching
Furniture,27.7,True,Kota Kinabalu
Food,2.5,True,Johor Bahru
Furniture,49.0,False,Kuching
Furniture,44.7,True,Penang
Electronics,15.6,False,Johor Bahru
Clothing,1.5,False,Kuching
Furniture,23.6,True,Kuala Lumpur
Electronics,18.4,True,Kuala Lumpur
Clothing,4.9,False,Kuala Lumpur
Food,8.4,True,Kuching
Furniture,24.0,True,Johor Bahru
Documents,0.9,False,Johor Bahru
Food,7.4,True,Kuching
Clothing,3.9,False,Penang
Electronics,13.8,True,Johor Bahru
Food,6.1,True,Johor Bahru
Electronics,10.1,True,Kuala Lumpur
Electronics,13.1,True,Kuching
Food,5.8,False,Kota Kinabalu
Furniture,25.2,True,Kuala Lumpur
Machinery,34.0,True,Kota Kinabalu
Clothing,4.7,False,Kuala Lumpur
Electronics,17.9,True,Kuala Lumpur
Food,5.9,False,Johor Bahru
Furniture,35.2,True,Kota Kinabalu
Machinery,31.9,True,Johor Bahru
Furniture,25.6,False,Kuala Lumpur
Food,8.2,True,Kota Kinabalu
Furniture,35.7,False,Penang
Furniture,23.4,True,Kuala Lumpur
Food,5.5,False,Kuala Lumpur
Clothing,1.7,False,Kuala Lumpur
Documents,1.6,True,Kuching
Electronics,13.2,True,Penang
Machinery,50.9,True,Johor Bahru
Food,8.5,False,Kota Kinabalu
Clothing,2.8,False,Kuala Lumpur
Machinery,62.9,False,Kuala Lumpur
Furniture,42.1,False,Kuala Lumpur
Food,1.9,False,Johor Bahru
Machinery,46.9,False,Penang
Documents,0.6,False,Johor Bahru
Furniture,32.6,False,Penang
Furniture,37.5,False,Kota Kinabalu
Electronics,15.8,True,Kuching
Documents,1.1,False,Penang
Food,8.0,True,Penang
Furniture,39.5,False,Penang
Clothing,3.5,False,Johor Bahru
Clothing,1.5,False,Kota Kinabalu
Food,1.2,True,Kota Kinabalu
Furniture,38.0,False,Kota Kinabalu
Furniture,34.3,False,Penang
Documents,1.8,False,Kota Kinabalu
Electronics,6.6,True,Kota Kinabalu
Food,2.1,True,Penang
Documents,1.3,False,Kuala Lumpur
Electronics,16.5,True,Penang
Machinery,32.6,True,Kota Kinabalu
Machinery,32.9,False,Penang
Furniture,37.3,True,Johor Bahru
Clothing,2.3,False,Kuching
Clothing,1.1,False,Johor Bahru
Food,8.6,True,Kuching
Food,3.9,False,Kuching
Furniture,48.2,False,Penang
Documents,1.9,False,Kota Kinabalu
Food,5.8,True,Kuala Lumpur
Clothing,3.8,False,Penang
Electronics,7.9,True,Kota Kinabalu
Clothing,3.5,False,Johor Bahru
Documents,0.8,False,Penang
Machinery,45.1,False,Kota Kinabalu
Electronics,10.6,True,Kuala Lumpur
Machinery,53.5,False,Kuching
Machinery,54.5,False,Johor Bahru
Furniture,33.6,False,Johor Bahru
Clothing,2.2,True,Johor Bahru
Electronics,8.6,True,Kuching
Electronics,10.1,True,Kuching
Electronics,12.8,True,Johor Bahru
Food,9.2,False,Kuching
Furniture,43.7,False,Johor Bahru
Clothing,4.0,False,Johor Bahru
Machinery,49.7,False,Kuching
Clothing,3.4,False,Kuching
Machinery,36.3,True,Kuching
Furniture,33.9,True,Kota Kinabalu
Documents,2.0,False,Johor Bahru
Machinery,34.4,False,Kota Kinabalu
Clothing,4.7,False,Penang
Clothing,2.1,False,Kuala Lumpur
Documents,1.4,False,Kuala Lumpur
Clothing,3.1,True,Johor Bahru
Electronics,17.4,True,Penang
Machinery,37.4,False,Johor Bahru
Furniture,21.3,False,Kuala Lumpur
Clothing,4.9,False,Kuala Lumpur
Clothing,3.4,False,Johor Bahru
Documents,1.8,False,Johor Bahru
Electronics,5.4,True,Johor Bahru
Furniture,33.1,True,Kuching
Furniture,33.2,False,Penang
Documents,1.1,True,Penang
Electronics,6.5,True,Kuala Lumpur
Electronics,19.3,True,Kuching
Documents,1.5,False,Kuala Lumpur
Documents,1.5,False,Penang
Clothing,1.8,False,Johor Bahru
Furniture,27.7,True,Johor Bahru
Documents,1.9,False,Kota Kinabalu
Clothing,2.4,False,Penang
Electronics,12.3,True,Johor Bahru
Machinery,58.9,False,Kuching
Documents,1.8,False,Penang
Machinery,32.4,False,Penang
Electronics,16.1,False,Kota Kinabalu
Documents,0.7,False,Kuala Lumpur
Documents,1.5,False,Penang
Documents,0.9,False,Kuching
Documents,1.5,False,Kota Kinabalu
Electronics,11.3,False,Kuching
Documents,1.1,False,Kota Kinabalu
Food,9.2,False,Kuala Lumpur
Furniture,32.1,False,Penang
Furniture,31.7,False,Johor Bahru
Clothing,3.0,False,Penang
Food,1.1,False,Kuching
Clothing,3.4,False,Kota Kinabalu
Electronics,17.9,True,Johor Bahru
Food,2.8,True,Johor Bahru
Furniture,43.0,False,Kuching
Furniture,45.3,False,Penang
Electronics,17.2,True,Kuching
Clothing,1.3,False,Penang
Food,6.8,True,Kuala Lumpur
Furniture,21.5,True,Johor Bahru
Machinery,33.0,False,Johor Bahru
Machinery,50.1,False,Kota Kinabalu
Documents,1.5,False,Kota Kinabalu
Food,8.1,False,Penang
Clothing,2.7,False,Kota Kinabalu
Furniture,49.5,True,Kuching
Food,4.1,True,Kota Kinabalu
Food,5.6,False,Johor Bahru
Clothing,4.4,False,Penang
Clothing,0.7,False,Kota Kinabalu
Clothing,3.6,False,Kota Kinabalu
Electronics,12.9,True,Penang
Clothing,1.3,False,Johor Bahru
Food,1.9,False,Kuching
Electronics,12.0,True,Penang
Clothing,4.6,False,Kuala Lumpur
Machinery,44.4,False,Penang
Furniture,28.8,False,Kuching
Furniture,42.3,False,Johor Bahru
Electronics,7.6,True,Kota Kinabalu
Machinery,33.8,True,Kuala Lumpur
Furniture,43.1,False,Penang
Furniture,44.4,False,Penang
Furniture,34.3,True,Penang
Furniture,28.6,False,Kuala Lumpur
Clothing,2.9,False,Kuala Lumpur
Food,6.1,False,Johor Bahru
Machinery,30.7,False,Kota Kinabalu
Food,1.0,False,Johor Bahru
Clothing,1.0,False,Kuala Lumpur
Furniture,30.6,False,Johor Bahru
Machinery,36.2,False,Johor Bahru
Machinery,54.4,False,Penang
Furniture,41.7,False,Kota Kinabalu
Clothing,4.7,False,Penang
Furniture,41.3,False,Johor Bahru
Electronics,18.0,True,Kota Kinabalu
Food,9.1,True,Kuching
Clothing,3.2,False,Penang
Machinery,37.1,False,Kota Kinabalu
Documents,0.7,False,Penang
Machinery,60.7,False,Kota Kinabalu
Documents,1.7,False,Kuala Lumpur
Documents,1.7,False,Penang
Documents,1.9,False,Kota Kinabalu
Furniture,37.6,False,Kuching
Food,6.9,True,Kota Kinabalu
Food,6.3,True,Penang
Clothing,2.2,False,Kuching
Machinery,47.3,False,Kuala Lumpur
Clothing,2.7,False,Kota Kinabalu
Machinery,67.6,False,Kota Kinabalu
Machinery,66.5,True,Kuala Lumpur
Electronics,13.9,True,Johor Bahru
Food,6.6,False,Penang
Clothing,5.0,False,Kuching
Documents,1.5,False,Kuching
Machinery,41.9,True,Kuala Lumpur
Clothing,3.6,False,Kuala Lumpur
Clothing,1.0,False,Kota Kinabalu
Food,8.1,True,Kota Kinabalu
Documents,0.7,False,Johor Bahru
Furniture,46.7,False,Kuala Lumpur
Furniture,23.7,False,Penang
Clothing,3.1,False,Johor Bahru
Clothing,1.6,False,Penang
Machinery,45.7,False,Kota Kinabalu
Electronics,13.4,True,Penang
Documents,1.5,False,Kuching
Furniture,36.4,False,Kuala Lumpur
Furniture,48.9,False,Kota Kinabalu
Machinery,41.8,False,Kota Kinabalu
Food,7.2,True,Penang
Documents,1.0,False,Johor Bahru
Food,5.0,True,Kuala Lumpur
Documents,0.8,False,Penang
Documents,0.7,False,Kuala Lumpur
Food,8.9,False,Johor Bahru
Food,9.2,True,Penang
Electronics,8.0,True,Penang
Documents,1.5,True,Kota Kinabalu
Clothing,1.7,False,Penang
Electronics,12.5,True,Johor Bahru
Furniture,49.8,False,Kuala Lumpur
Food,3.3,True,Kuala Lumpur
Machinery,35.3,False,Kuala Lumpur
Food,8.0,False,Kuching
